Number of combinations,Min error,Epoch,Learning rate,Neurons,Weight decay,Time
10,55617.099868869445,630,0.005,"[100, 70]",1e-06,47.397864600000005
10,56703.57845435419,930,0.01,"[50, 60]",1e-05,60.160419
10,57522.86081177758,900,0.01,"[90, 10]",0.0001,48.6641523
10,54366.61483410484,870,0.01,"[100, 50]",1e-05,64.2179927
10,57916.40999584414,780,0.005,"[50, 40]",0.0001,58.22435819999998
10,58522.68226039154,480,0.005,"[40, 40]",0.0,65.44251980000001
10,55466.5667769877,1000,0.001,"[90, 30]",1e-06,86.7368596
10,56289.987664116416,870,0.001,"[60, 70]",1e-06,49.08429509999996
10,54929.904382026005,870,0.01,"[60, 90]",1e-05,66.49342329999996
10,56761.06372453406,960,0.001,"[40, 100]",0.0,62.0822965000001
30,55327.47317422201,540,0.01,"[70, 90]",1e-05,152.0364399
30,53763.77704898178,960,0.005,"[70, 90]",1e-05,205.15234039999996
30,56695.37147516205,840,0.005,"[40, 10]",0.0001,153.8794094
30,55700.76476898593,990,0.01,"[90, 10]",1e-06,134.90257299999985
30,56520.98597201092,540,0.005,"[70, 50]",1e-06,171.50170660000003
30,54365.85430784955,810,0.01,"[80, 40]",1e-06,146.0899598000001
30,54716.05739728431,750,0.01,"[70, 30]",1e-06,199.40717840000002
30,55315.93127065511,450,0.01,"[80, 60]",1e-06,169.78962539999998
30,56793.73197869034,540,0.01,"[70, 80]",1e-06,175.0541157
30,55625.11161604831,900,0.005,"[80, 20]",1e-05,182.49963770000022
50,54998.881243878015,1000,0.005,"[80, 80]",1e-06,311.2221805999998
50,54985.109519469566,990,0.001,"[100, 60]",1e-06,263.2984257000003
50,54528.22730399186,720,0.005,"[80, 80]",1e-06,253.07540179999978
50,54663.85087501958,780,0.005,"[100, 90]",1e-06,284.8925422000002
50,54987.24840083331,960,0.01,"[40, 70]",1e-06,326.99416980000024
50,56347.82072588963,780,0.01,"[90, 30]",1e-06,302.4664057
50,54287.51702958754,600,0.005,"[100, 100]",1e-05,335.77678259999993
50,55463.62540752812,810,0.01,"[70, 90]",0.0,289.57644920000075
50,54601.221815823854,900,0.01,"[80, 30]",1e-05,285.6016214000001
50,55497.93092280571,600,0.005,"[80, 100]",1e-06,300.46980149999945
100,54375.32344325205,1000,0.01,"[80, 80]",1e-05,580.7247608999996
100,54762.83103112605,840,0.01,"[40, 80]",1e-06,596.3106541999996
100,54966.14773530675,690,0.005,"[100, 80]",0.0,644.4309002999998
100,54436.10787280054,930,0.005,"[70, 60]",1e-06,595.9075590000002
100,54839.37616393311,990,0.01,"[40, 50]",1e-05,580.1810909000005
100,55005.60543123536,840,0.01,"[30, 70]",0.0,606.3647502999993
100,54705.46480229211,840,0.01,"[60, 90]",1e-05,629.678511099999
100,54117.153939893935,810,0.005,"[70, 80]",1e-06,586.5261565000001
100,55329.017787177625,990,0.01,"[50, 20]",1e-06,641.9667050999997
100,53969.71659278316,1000,0.01,"[50, 80]",0.0,664.2299423000004
